Titre,Année,Durée,Genres,Note,Votes
Coureur de dot,1920,70,Drama,6.2,13
La fête espagnole,2019,67,Drama,6.3,23
La marche dans la nuit,1921,81,Drama,6.3,333
Janette chez les peaux-rouges,1920,50,Adventure,4.4,7
Le système du Docteur Ox,1920,70,"Comedy,Drama,Horror",4.2,13
Le Golem,1920,76,"Fantasy,Horror",7.2,6953
Les deux compères,1920,\N,"Comedy,Romance",5.7,11
Pirates de l'air,1919,60,"Adventure,Sci-Fi",3.3,18
Un lâche,1920,50,Drama,4.6,5
Autour d'un coeur,1920,81,Comedy,5.3,21
La piste de l'épervier,1919,\N,Crime,5.3,6
Son cornac,1920,\N,Drama,6.3,9
L'Hirondelle et la Mésange,1924,80,Drama,7.2,173
L'homme du large,1920,86,Drama,6.9,198
Humoresque,1920,60,Drama,6.2,142
L'homme au couteau,1920,60,Drama,6.2,108
Le crime du docteur Warren,1920,107,Horror,7.2,91
L'île d'espoir,1920,60,"Adventure,Comedy,Western",5.9,8
Pour son gosse,1920,50,"Comedy,Drama,Western",6.6,358
La montre brisée,1920,115,Drama,6.5,109
Kismet,1920,95,Drama,6.6,24
Le monastère de Sendomir,1920,54,Drama,6.9,331
Les filles de Kohlhiesel,1920,64,"Comedy,Romance",6.6,277
Le dernier des Mohicans,1920,73,"Action,Adventure,Drama",6.7,1142
Fatty candidat,1920,50,"Comedy,Drama",6.1,82
La cité perdue,1920,\N,"Action,Adventure",4.2,13
Les signes de l'amour,1920,60,"Comedy,Romance",5.0,145
La fleur d'amour,1920,95,Drama,5.8,117
Le fantôme de Lord Barington,1920,50,"Comedy,Drama",4.2,5
Le Signe de Zorro,1920,79,"Adventure,Romance,Western",7.1,2249
L'éveil de la glèbe,1921,107,Drama,6.6,209
Morphine,1923,65,Drama,6.0,7
Folie d'été,1920,60,Drama,6.5,6
Une poule mouillée,1920,86,"Adventure,Comedy,Romance",6.5,138
Miss Hurluberlu,1921,\N,\N,4.3,13
Les Mutinés de l'Elsinore,1920,\N,Drama,5.8,5
Le mystère des 13,1919,\N,Action,4.6,9
Maître Samuel,1920,116,Drama,7.2,69
Narayana,1920,61,Fantasy,5.7,11
La jolie infirmière,1920,88,"Comedy,Drama",6.8,57
La Guerre des boeufs,1920,86,Drama,6.1,56
Un garçon vieux-jeu,1920,50,"Comedy,Romance",6.2,8
Maman,1920,110,"Crime,Drama",3.9,7
Satan,1920,90,"Crime,Drama,Horror",7.4,2083
Petit ange,1920,\N,\N,5.4,5
Pollyanna,1920,58,"Comedy,Drama,Family",6.5,375
Les monstres se révoltent,1920,\N,\N,5.5,13
La quatrième alliance de Dame Marguerite,1920,94,"Comedy,Drama,Horror",7.1,1088
93,1921,165,"Drama,History",5.8,28
L'arène conjugale,1920,50,Comedy,6.8,42
Les incomprises,1920,85,Drama,6.1,150
Le retour de Tarzan,1920,90,"Action,Adventure",5.0,34
"Fatty, l'intrépide shériff",1920,70,"Comedy,Western",5.7,126
Son meilleur ami,1920,50,Western,7.0,40
Ce crétin de Malec,1920,77,Comedy,6.1,1460
Satanas,1920,60,"Drama,Horror,Mystery",7.0,50
Expiation,1920,87,Drama,6.0,275
Le signe sur la porte,1921,84,Drama,4.9,12
La horde d'argent,1920,\N,"Adventure,Drama",5.8,14
L'amour a-t-il un maître?,1920,78,Drama,5.2,580
Les araignées - Le cargo d'esclaves,1920,104,Adventure,6.4,797
L'Histoire d'une femme,1920,70,\N,6.4,19
Rêve et réalité,1920,75,"Comedy,Drama,Romance",6.3,217
Sumurun,1920,115,"Adventure,Drama,Romance",6.1,649
Dureté d'âme,1920,92,Drama,6.1,11
Son dernier exploit,1920,73,"Adventure,Drama,Western",6.4,200
L'île au trésor,1920,76,Adventure,6.8,25
La bâillon,1920,60,Adventure,4.2,11
Patte de velours,1920,\N,"Action,Adventure",5.2,9
La vierge de Stamboul,1920,70,Drama,5.8,37
De l'aube à minuit,1920,65,"Drama,Thriller",6.9,453
L'image vagabonde,1920,67,Romance,6.1,378
À travers l'orage,1920,145,"Drama,Romance",7.4,5103
Les nuits de New York,1920,80,"Crime,Drama",6.5,17
L'échange,1920,90,"Comedy,Drama",6.7,1343
Within Our Gates,1920,79,"Drama,Romance",6.4,2683
Haine implacable,1920,90,Drama,6.9,16
Oui ou non,1920,72,Drama,5.6,7
Au creux des sillons,1923,\N,Drama,7.4,5
La carte fatale,1921,75,"Crime,Drama,Mystery",6.8,1094
Une excellente affaire,1921,50,Western,5.2,32
Les aventures de Tarzan,1921,73,"Action,Adventure",5.9,107
Le coeur nous trompe,1921,117,"Comedy,Drama",6.6,1216
Le vieux comédien,1921,60,Drama,6.2,5
Nos chers disparus,1921,60,Drama,6.2,5
Les drames de l'Alaska,1921,50,Drama,5.0,8
Soyez ma femme,1921,55,Comedy,6.9,378
